Year,Average of F-Scale,State,Count,Agricultural Exports,Animal Products,Plant Products,Region
2000,0.77,AL,44,601.72,322.99,278.72,South-East
2001,0.87,AL,55,717.03,343.91,373.11,South-East
2002,0.61,AL,38,554.35,286.13,268.22,South-East
2003,0.50,AL,42,756.29,334.23,422.06,South-East
2004,0.49,AL,59,761.41,329.84,431.57,South-East
2005,0.27,AL,81,802.69,386.62,416.07,South-East
2006,0.51,AL,70,720.50,359.06,361.44,South-East
2007,0.91,AL,43,862.39,474.54,387.85,South-East
2008,0.88,AL,95,1082.11,590.29,491.82,South-East
2009,0.64,AL,80,1045.31,536.59,508.72,South-East
2010,1.13,AL,39,1141.38,567.57,573.81,South-East
2011,1.40,AL,157,1427.64,655.26,772.38,South-East
2012,0.91,AL,56,1494.20,701.77,792.44,South-East
2013,0.96,AL,23,1602.44,712.24,890.20,South-East
2014,1.05,AL,55,1525.41,707.26,818.15,South-East
2000,0.00,AK,0,6.20,0.33,5.88,Western
2001,0.00,AK,0,6.77,0.31,6.47,Western
2002,0.00,AK,0,6.45,0.45,6.00,Western
2003,0.00,AK,0,8.26,1.58,6.68,Western
2004,0.00,AK,2,8.38,1.50,6.88,Western
2005,0.00,AK,1,9.71,1.58,8.13,Western
2006,0.00,AK,0,9.50,1.76,7.75,Western
2007,0.00,AK,0,10.24,1.90,8.34,Western
2008,0.00,AK,0,11.38,1.89,9.49,Western
2009,0.00,AK,0,10.99,1.62,9.36,Western
2010,0.00,AK,0,12.21,2.15,10.05,Western
2011,0.00,AK,0,13.45,2.30,11.15,Western
2012,0.00,AK,0,14.13,2.17,11.96,Western
2013,0.00,AK,0,14.02,1.76,12.26,Western
2014,0.00,AK,0,15.33,1.75,13.57,Western
2000,0.00,AZ,0,483.83,101.50,382.33,Western
2001,0.25,AZ,4,464.38,112.26,352.12,Western
2002,0.00,AZ,0,509.65,106.35,403.29,Western
2003,0.00,AZ,9,550.21,117.23,432.98,Western
2004,0.00,AZ,3,630.05,78.10,551.95,Western
2005,0.00,AZ,8,661.27,91.79,569.48,Western
2006,0.17,AZ,6,703.54,110.19,593.35,Western
2007,0.00,AZ,0,842.33,148.35,693.98,Western
2008,0.00,AZ,3,1029.74,169.72,860.02,Western
2009,0.00,AZ,4,866.94,128.66,738.28,Western
2010,1.08,AZ,12,1085.60,187.30,898.30,Western
2011,0.67,AZ,3,1528.68,252.70,1275.98,Western
2012,0.00,AZ,1,1368.06,268.54,1099.52,Western
2013,0.00,AZ,1,1406.50,297.63,1108.88,Western
2014,0.00,AZ,3,1294.78,334.03,960.75,Western
2000,0.11,CA,9,6853.88,551.77,6302.11,Western
2001,0.38,CA,8,7081.07,614.81,6466.25,Western
2002,0.67,CA,3,7208.83,538.39,6670.44,Western
2003,0.00,CA,0,7846.74,605.49,7241.25,Western
2004,0.00,CA,10,8745.80,570.89,8174.90,Western
2005,0.13,CA,30,9734.99,646.85,9088.14,Western
2006,0.11,CA,9,10418.10,709.71,9708.39,Western
2007,0.00,CA,6,11641.78,1093.40,10548.38,Western
2008,0.43,CA,7,13165.39,1353.30,11812.09,Western
2009,0.00,CA,2,12651.71,980.19,11671.52,Western
2010,0.25,CA,8,14513.09,1374.79,13138.30,Western
2011,0.56,CA,9,17299.25,1789.88,15509.37,Western
2012,0.25,CA,12,19148.93,1922.15,17226.77,Western
2013,0.00,CA,4,22912.42,2170.18,20742.24,Western
2014,0.33,CA,9,23558.26,2272.70,21285.56,Western
2000,0.18,CO,60,886.14,389.85,496.29,Western
2001,0.20,CO,46,908.65,404.24,504.40,Western
2002,0.08,CO,25,911.48,418.39,493.10,Western
2003,0.10,CO,29,865.13,429.83,435.30,Western
2004,0.20,CO,84,734.32,236.46,497.86,Western
2005,0.06,CO,34,824.97,268.13,556.85,Western
2006,0.20,CO,20,960.78,353.30,607.48,Western
2007,0.14,CO,56,1278.86,419.79,859.07,Western
2008,0.26,CO,39,1428.62,469.42,959.20,Western
2009,0.12,CO,42,1203.43,416.63,786.80,Western
2010,0.15,CO,71,1456.02,480.98,975.04,Western
2011,0.00,CO,21,1877.54,633.65,1243.89,Western
2012,0.33,CO,33,1743.24,675.85,1067.38,Western
2013,0.04,CO,26,1642.30,728.82,913.48,Western
2014,0.18,CO,49,1762.39,727.74,1034.65,Western
2000,1.00,CT,1,132.55,26.99,278.72,North-East
2001,0.75,CT,4,129.23,28.16,373.11,North-East
2002,0.50,CT,4,132.07,24.06,268.22,North-East
2003,0.00,CT,0,130.80,21.90,422.06,North-East
2004,0.00,CT,0,135.44,21.28,431.57,North-East
2005,0.00,CT,0,153.46,21.36,416.07,North-East
2006,1.00,CT,1,161.29,25.47,361.44,North-East
2007,0.50,CT,2,194.74,34.91,387.85,North-East
2008,0.00,CT,0,215.57,31.79,491.82,North-East
2009,1.00,CT,3,205.10,23.69,508.72,North-East
2010,1.00,CT,6,234.99,32.14,573.81,North-East
2011,1.00,CT,1,258.16,38.33,772.38,North-East
2012,0.00,CT,0,273.53,41.59,792.44,North-East
2013,0.50,CT,4,284.81,50.70,890.20,North-East
2014,0.00,CT,1,290.55,52.04,818.15,North-East
2000,0.00,DE,0,129.76,59.68,70.08,South-East
2001,0.00,DE,0,147.30,72.15,75.15,South-East
2002,0.00,DE,0,121.53,57.46,64.07,South-East
2003,0.00,DE,0,120.01,59.04,60.98,South-East
2004,1.00,DE,2,135.94,63.92,72.02,South-East
2005,0.00,DE,0,140.14,80.34,59.80,South-East
2006,0.00,DE,0,136.93,68.79,68.14,South-East
2007,0.00,DE,0,186.45,100.75,85.70,South-East
2008,0.00,DE,0,242.41,118.49,123.92,South-East
2009,0.00,DE,0,233.72,116.85,116.86,South-East
2010,0.00,DE,0,244.51,112.12,132.39,South-East
2011,1.00,DE,1,270.83,121.20,149.63,South-East
2012,0.00,DE,1,313.40,136.71,176.68,South-East
2013,0.00,DE,1,307.82,138.91,168.91,South-East
2014,1.00,DE,1,320.96,148.57,172.39,South-East
2000,0.18,FL,77,1910.14,207.07,1703.07,South-East
2001,0.37,FL,70,1879.93,211.69,1668.24,South-East
2002,0.19,FL,43,1817.37,191.89,1625.48,South-East
2003,0.27,FL,44,1910.24,177.80,1732.44,South-East
2004,0.32,FL,106,1905.40,163.69,1741.71,South-East
2005,0.23,FL,56,2118.76,166.02,1952.74,South-East
2006,0.36,FL,42,2297.70,190.13,2107.57,South-East
2007,0.39,FL,49,2625.50,175.85,2449.65,South-East
2008,0.25,FL,56,2917.71,212.61,2705.10,South-East
2009,0.11,FL,37,2664.59,166.96,2497.63,South-East
2010,0.11,FL,19,3066.95,219.73,2847.22,South-East
2011,0.33,FL,40,3460.20,254.18,3206.02,South-East
2012,0.21,FL,48,3816.23,410.41,3405.82,South-East
2013,0.14,FL,37,3724.07,410.51,3313.56,South-East
2014,0.21,FL,28,3570.83,428.99,3141.84,South-East
2000,0.86,GA,28,1438.50,338.64,1099.86,South-East
2001,0.42,GA,12,1449.06,392.22,1056.84,South-East
2002,0.42,GA,24,1177.23,309.18,868.05,South-East
2003,0.74,GA,27,1457.14,337.19,1119.95,South-East
2004,0.47,GA,45,1586.68,358.28,1228.40,South-East
2005,0.48,GA,54,1579.08,422.24,1156.84,South-East
2006,0.81,GA,21,1601.10,397.37,1203.72,South-East
2007,1.07,GA,42,1989.28,561.03,1428.26,South-East
2008,1.00,GA,65,2330.55,736.45,1594.10,South-East
2009,0.96,GA,55,2074.08,670.47,1403.61,South-East
2010,0.45,GA,11,2547.51,661.89,1885.62,South-East
2011,1.33,GA,43,3243.76,796.41,2447.35,South-East
2012,0.80,GA,15,3257.15,908.03,2349.11,South-East
2013,0.82,GA,17,3607.32,918.57,2688.75,South-East
2014,0.69,GA,32,3106.96,903.88,2203.07,South-East
2000,0.00,HI,0,151.46,18.45,133.01,Western
2001,0.00,HI,0,158.62,18.45,140.17,Western
2002,0.00,HI,1,153.32,19.14,134.18,Western
2003,0.00,HI,0,159.96,13.89,146.06,Western
2004,0.00,HI,3,165.38,12.46,152.92,Western
2005,0.00,HI,2,187.11,12.49,174.63,Western
2006,0.00,HI,2,199.89,11.43,188.46,Western
2007,0.00,HI,0,212.65,16.15,196.50,Western
2008,0.00,HI,2,283.78,30.52,253.26,Western
