Year,Average of F-Scale,State,Count,Year,Beef and veal,Pork,Hides and skins,Other livestock products 1/,Dairy products,Broiler meat,Other poultry products 2/,Vegetables fresh,Vegetables processed,Fruits fresh,Fruits processed,Tree nuts,Rice,Wheat,Corn,Feeds and other feed grains 3/,Grain products processed,Soybeans,Soybean meal,Vegetable oils,Other oilseeds and products 4/,Cotton,Tobacco,Other plant products,Total agricultural exports,Total animal products,Total plant products
2000,0.432432432,TX,148,2000,604.0,13.0,205.2,84.3,36.5,93.6,35.8,28.8,43.8,24.9,22.8,25.5,80.9,109.9,129.6,161.1,48.0,16.9,4.1,20.2,190.2,368.3,0.0,387.8,2735.02,1072.36,1662.66
2001,0.460431655,TX,139,2001,572.1,13.0,256.0,85.1,35.3,114.6,37.3,32.7,49.3,33.0,29.0,37.5,53.2,169.8,90.6,143.0,48.0,14.0,3.9,22.6,236.2,429.1,0.0,453.2,2958.56,1113.42,1845.14
2002,0.28,TX,175,2002,493.1,10.3,216.7,87.1,31.3,92.3,31.3,29.7,42.1,36.8,32.4,21.0,48.5,138.3,76.4,134.2,53.9,12.9,3.0,21.4,220.7,555.7,0.0,460.0,2849.16,962.06,1887.10
2003,0.375,TX,160,2003,669.4,9.9,252.1,93.4,34.3,101.4,34.1,35.1,45.8,37.2,32.9,41.8,58.4,143.5,101.7,133.4,57.1,15.6,2.5,18.6,164.5,680.6,0.0,540.8,3304.04,1194.64,2109.40
2004,0.25698324,TX,179,2004,136.9,13.8,229.4,93.5,51.8,121.4,35.0,32.9,44.2,33.4,31.8,39.4,84.4,235.0,165.8,146.9,75.5,17.9,3.5,19.5,168.2,"1,237.3",0.0,580.2,3597.77,681.72,2916.06
2005,0.266666667,TX,105,2005,205.2,18.3,205.6,135.2,59.9,145.7,38.9,41.1,53.9,46.7,38.2,64.3,78.1,172.5,94.4,114.7,70.4,17.0,4.0,21.5,185.6,"1,205.6",0.0,673.1,3689.92,808.82,2881.10
2006,0.353448276,TX,116,2006,303.0,21.7,239.9,133.2,74.2,124.4,38.4,37.1,48.8,34.6,32.0,60.3,74.2,108.6,163.4,136.7,78.6,13.7,3.3,14.6,132.2,"1,575.6",0.0,703.9,4152.39,934.81,3217.58
2007,0.417085427,TX,199,2007,401.7,20.1,258.4,167.2,121.8,178.9,52.7,46.0,63.2,32.7,31.1,57.2,72.5,504.5,211.0,220.8,138.6,12.2,2.6,20.1,170.2,"1,368.0",0.0,797.1,4948.57,1200.76,3747.81
2008,0.233333333,TX,120,2008,477.4,42.3,236.2,198.1,168.9,241.2,61.6,32.0,51.8,30.7,28.3,29.7,113.4,635.0,333.3,236.7,112.8,21.3,4.4,28.9,139.1,"2,013.8",0.0,891.6,6128.57,1425.78,4702.80
2009,0.446969697,TX,132,2009,489.0,39.1,177.5,174.0,107.7,249.0,59.7,30.0,48.4,26.8,23.7,81.3,112.3,122.1,207.5,188.5,103.8,24.7,5.3,20.7,97.3,"1,333.0",0.0,833.3,4554.79,1296.10,3258.69
2010,0.366972477,TX,109,2010,608.7,25.2,255.8,224.6,177.0,231.8,69.4,47.4,73.8,43.1,38.3,122.7,120.0,322.1,256.0,246.5,126.8,29.6,5.6,21.4,88.7,"2,309.4",0.0,938.8,6382.68,1592.46,4790.22
2011,0.346153846,TX,104,2011,961.0,42.6,355.2,269.7,240.6,266.5,77.9,30.0,48.7,37.1,34.3,60.2,117.4,319.6,177.6,150.3,75.4,16.4,3.0,22.9,117.1,"2,479.5",0.0,975.8,6878.70,2213.51,4665.18
2012,0.304347826,TX,115,2012,823.8,81.8,321.1,227.3,247.4,294.1,79.8,43.3,81.2,37.7,32.2,58.4,137.6,307.8,191.1,235.3,118.3,19.3,3.8,18.5,108.2,"1,534.4",0.0,"1,070.8",6073.24,2075.35,3997.89
2013,0.345238095,TX,84,2013,924.1,60.4,355.1,198.1,326.0,301.1,86.7,47.0,84.4,40.1,35.4,32.6,111.2,333.9,124.6,271.0,111.1,17.6,4.4,17.2,159.5,"1,395.8",0.0,"1,090.3",6127.23,2251.39,3875.84
2014,0.282608696,TX,46,2014,966.9,63.6,306.0,191.3,363.9,280.5,91.1,45.2,86.1,36.6,32.9,87.1,92.8,268.0,248.4,368.2,134.0,23.1,5.3,15.7,191.2,"1,375.5",0.0,"1,157.2",6430.53,2263.34,4167.19
